.threshold,recall,precision
0.5070913732051849,0.3870967741935484,0.08748481166464156
0.5058296918869019,0.3870967741935484,0.08737864077669903
0.5057965219020844,0.3870967741935484,0.08727272727272728
0.5057036876678467,0.3870967741935484,0.08716707021791767
0.5056535601615906,0.3870967741935484,0.08685162846803378
0.5053499341011047,0.3870967741935484,0.08674698795180723
0.5051256120204926,0.3870967741935484,0.08664259927797834
0.5046807527542114,0.3870967741935484,0.08653846153846154
0.5044838488101959,0.3870967741935484,0.08643457382953182
0.5043091475963593,0.3870967741935484,0.08622754491017964
0.5037217140197754,0.3870967741935484,0.0861244019138756
0.5031583309173584,0.3870967741935484,0.08602150537634409
0.5028133988380432,0.3870967741935484,0.08571428571428572
0.5016344785690308,0.3870967741935484,0.0855106888361045
0.5016167163848877,0.3924731182795699,0.08659549228944247
0.5014093518257141,0.3924731182795699,0.08628841607565012
0.5008809566497803,0.3924731182795699,0.08618654073199528
0.5008460879325867,0.3924731182795699,0.08608490566037735
0.5001388490200043,0.3924731182795699,0.08598351001177856
0.5000195503234863,0.3924731182795699,0.08588235294117647
0.4997979998588562,0.3924731182795699,0.08578143360752057
0.49842876195907593,0.3924731182795699,0.08568075117370892
0.4973304867744446,0.3924731182795699,0.08558030480656506
0.4971449375152588,0.3924731182795699,0.08548009367681499
0.49682527780532837,0.3924731182795699,0.08538011695906433
0.4966002106666565,0.3924731182795699,0.08518086347724621
0.49641335010528564,0.3924731182795699,0.08508158508158509
0.49620628356933594,0.3924731182795699,0.08498253783469151
0.4960620403289795,0.3978494623655914,0.08604651162790698
0.4948819875717163,0.4032258064516129,0.08690614136732329
0.4938821792602539,0.4032258064516129,0.08680555555555555
0.4933205246925354,0.4032258064516129,0.08670520231213873
0.49230968952178955,0.4032258064516129,0.08660508083140878
0.4922250509262085,0.4032258064516129,0.08650519031141868
0.49218565225601196,0.4032258064516129,0.08620689655172414
0.49122411012649536,0.4032258064516129,0.08610792192881746
0.49064165353775024,0.4032258064516129,0.0860091743119266
0.4903290867805481,0.4032258064516129,0.0859106529209622
0.49007856845855713,0.4032258064516129,0.08581235697940504
0.4898926019668579,0.40860215053763443,0.08685714285714285
0.48967987298965454,0.40860215053763443,0.0867579908675799
0.48852401971817017,0.40860215053763443,0.08665906499429875
0.48814916610717773,0.40860215053763443,0.08636363636363636
0.48799175024032593,0.40860215053763443,0.08587570621468926
0.4872490167617798,0.40860215053763443,0.08577878103837472
0.48634469509124756,0.40860215053763443,0.08558558558558559
0.4854660630226135,0.40860215053763443,0.08548931383577053
0.48427098989486694,0.41397849462365593,0.08641975308641975
0.48422932624816895,0.41397849462365593,0.08632286995515695
0.4829027056694031,0.41397849462365593,0.08622620380739082
0.4814668893814087,0.41397849462365593,0.08565072302558398
0.4810860753059387,0.41397849462365593,0.08546059933407325
0.4810197353363037,0.41397849462365593,0.08536585365853659
0.48092323541641235,0.41397849462365593,0.08527131782945736
0.48055732250213623,0.41397849462365593,0.08517699115044247
0.47916144132614136,0.41935483870967744,0.08571428571428572
0.47813642024993896,0.41935483870967744,0.08562019758507135
0.4772196412086487,0.41935483870967744,0.08533916849015317
0.47711730003356934,0.41935483870967744,0.08524590163934426
0.4767352342605591,0.41935483870967744,0.08496732026143791
0.47629767656326294,0.41935483870967744,0.08487486398258977
0.47414928674697876,0.41935483870967744,0.08478260869565217
0.47396934032440186,0.41935483870967744,0.08469055374592833
0.47340595722198486,0.42473118279569894,0.08568329718004339
0.4724843502044678,0.42473118279569894,0.08559046587215602
0.4724423885345459,0.42473118279569894,0.08494623655913978
0.4719387888908386,0.42473118279569894,0.08485499462943072
0.47024691104888916,0.42473118279569894,0.08476394849785408
0.4698805809020996,0.42473118279569894,0.08467309753483387
0.46952444314956665,0.42473118279569894,0.08458244111349036
0.46932029724121094,0.42473118279569894,0.08422174840085288
0.46905601024627686,0.42473118279569894,0.08413205537806177
0.46867722272872925,0.42473118279569894,0.08404255319148936
0.4684916138648987,0.42473118279569894,0.08377518557794274
0.4683613181114197,0.43010752688172044,0.0847457627118644
0.4682953953742981,0.43010752688172044,0.08465608465608465
0.4680849313735962,0.43010752688172044,0.08456659619450317
0.4663228988647461,0.43010752688172044,0.08438818565400844
0.46570247411727905,0.43010752688172044,0.08429926238145416
0.46560007333755493,0.43010752688172044,0.08421052631578947
0.465582013130188,0.43010752688172044,0.08412197686645637
0.4651618003845215,0.43010752688172044,0.08403361344537816
0.4641849398612976,0.43010752688172044,0.08394543546694648
0.4627785086631775,0.43010752688172044,0.08376963350785341
0.4626637101173401,0.43010752688172044,0.08368200836820083
0.4619481563568115,0.43010752688172044,0.08359456635318704
0.4615272879600525,0.43548387096774194,0.08455114822546973
0.4615015387535095,0.43548387096774194,0.08411214953271028
0.4614458680152893,0.44086021505376344,0.08506224066390042
