config_id,model,strategy,threshold,accuracy,precision,recall,f1_score,positives_predicted,positive_prediction_rate,false_positives,false_negatives,true_positives,true_negatives
xgboost__smote,xgboost,smote,0.2,0.7211721081667721,0.04578237692066479,0.7849462365591398,0.08651851851851854,3189,0.28841457899972867,3043,40,146,7828
xgboost__smote,xgboost,smote,0.21000000000000002,0.7445057429682554,0.04858022579541567,0.7634408602150538,0.09134770022515279,2923,0.26435742063850953,2781,44,142,8090
xgboost__smote,xgboost,smote,0.22,0.7673871755449037,0.05150375939849624,0.7365591397849462,0.09627547434996486,2660,0.24057158361219136,2523,49,137,8348
xgboost__smote,xgboost,smote,0.23,0.8225558469747671,0.06299212598425197,0.6881720430107527,0.11541929666366096,2032,0.18377498417292212,1904,58,128,8967
xgboost__smote,xgboost,smote,0.24000000000000002,0.8269874287781496,0.06454866364094806,0.6881720430107527,0.11802674043337945,1983,0.17934340236953966,1855,58,128,9016
xgboost__smote,xgboost,smote,0.25,0.8317807723614,0.06587136929460581,0.6827956989247311,0.12015137180700096,1928,0.17436917789635525,1801,59,127,9070
xgboost__smote,xgboost,smote,0.26,0.8507732658044678,0.07192982456140351,0.6612903225806451,0.12974683544303797,1710,0.1546531608935516,1587,63,123,9284
xgboost__smote,xgboost,smote,0.27,0.8587320249615628,0.07425742574257425,0.6451612903225806,0.13318534961154274,1616,0.14615175906665462,1496,66,120,9375
xgboost__smote,xgboost,smote,0.28,0.8727502939314461,0.08041237113402062,0.6290322580645161,0.14259597806215724,1455,0.13159084742696933,1338,69,117,9533
xgboost__smote,xgboost,smote,0.29000000000000004,0.8751017455005878,0.08187543736878937,0.6290322580645161,0.1448916408668731,1429,0.12923939585782762,1312,69,117,9559
xgboost__smote,xgboost,smote,0.3,0.8778149588495976,0.08303507516105942,0.6236559139784946,0.14655716993051168,1397,0.12634530161888397,1281,70,116,9590
xgboost__smote,xgboost,smote,0.31,0.8794428868590033,0.08351488743645606,0.6182795698924731,0.1471529110684581,1377,0.12453649271954419,1262,71,115,9609
xgboost__smote,xgboost,smote,0.32,0.8808899339784751,0.08327192336035372,0.6075268817204301,0.14646791963707065,1357,0.1227276838202044,1244,73,113,9627
xgboost__smote,xgboost,smote,0.33,0.882970064212716,0.08408408408408409,0.6021505376344086,0.14756258234519107,1332,0.12046667269602966,1220,74,112,9651
xgboost__smote,xgboost,smote,0.34,0.8846884326670887,0.08466819221967964,0.5967741935483871,0.14829659318637275,1311,0.11856742335172289,1200,75,111,9671
xgboost__smote,xgboost,smote,0.35000000000000003,0.8867685629013294,0.0842433697347894,0.5806451612903226,0.14713896457765668,1282,0.11594465044768021,1174,78,108,9697
xgboost__smote,xgboost,smote,0.36000000000000004,0.8883060504657683,0.08273667462211615,0.5591397849462365,0.14414414414414414,1257,0.11368363932350548,1153,82,104,9718
xgboost__smote,xgboost,smote,0.37,0.890747942479877,0.08455284552845528,0.5591397849462365,0.14689265536723162,1230,0.11124174730939676,1126,82,104,9745
xgboost__smote,xgboost,smote,0.38,0.8926471918241837,0.08326394671107411,0.5376344086021505,0.14419610670511898,1201,0.10861897440535408,1101,86,100,9770
xgboost__smote,xgboost,smote,0.39,0.8963552500678303,0.0847750865051903,0.5268817204301075,0.14605067064083457,1156,0.10454915438183957,1058,88,98,9813
xgboost__smote,xgboost,smote,0.4,0.8978927376322692,0.08384819064430715,0.510752688172043,0.14404852160727824,1133,0.1024690241475988,1038,91,95,9833
xgboost__smote,xgboost,smote,0.41000000000000003,0.9004250700913449,0.08065994500458296,0.4731182795698925,0.13782302270947536,1091,0.09867052545898526,1003,98,88,9868
xgboost__smote,xgboost,smote,0.42000000000000004,0.9028669621054536,0.08270676691729323,0.4731182795698925,0.1408,1064,0.09622863344487655,976,98,88,9895
xgboost__smote,xgboost,smote,0.43,0.9046757710047933,0.08349328214971209,0.46774193548387094,0.14169381107491855,1042,0.09423894365560279,955,99,87,9916
xgboost__smote,xgboost,smote,0.44,0.9069367821289681,0.08390918065153011,0.45698924731182794,0.14178482068390325,1013,0.0916161707515601,928,101,85,9943
xgboost__smote,xgboost,smote,0.45,0.9087455910283079,0.0839231547017189,0.44623655913978494,0.14127659574468085,989,0.08944560007235236,906,103,83,9965
xgboost__smote,xgboost,smote,0.46,0.9106448403726146,0.08488612836438923,0.44086021505376344,0.14236111111111113,966,0.08736546983811161,884,104,82,9987
xgboost__smote,xgboost,smote,0.47000000000000003,0.9131771728316903,0.08476394849785408,0.42473118279569894,0.14132379248658317,932,0.08429049470923397,853,107,79,10018
xgboost__smote,xgboost,smote,0.48000000000000004,0.9153477435108981,0.08517699115044247,0.41397849462365593,0.14128440366972478,904,0.08175816225015826,827,109,77,10044
xgboost__smote,xgboost,smote,0.49,0.9176991950800398,0.08581235697940504,0.4032258064516129,0.14150943396226415,874,0.07904494890114859,799,111,75,10072
