replication,metric,value
47,precision,0.11530815109343936
47,recall,0.3118279569892473
47,f_meas,0.16835994194484763
47,roc_auc,0.8245146156836329
47,pr_auc,0.09039954811158205
48,accuracy,0.9524283259473637
48,precision,0.102803738317757
48,recall,0.23655913978494625
48,f_meas,0.14332247557003258
48,roc_auc,0.8229038390588357
48,pr_auc,0.08273390074405368
49,accuracy,0.9454644116849055
49,precision,0.09197651663405088
49,recall,0.25268817204301075
49,f_meas,0.13486370157819225
49,roc_auc,0.8186360475686026
49,pr_auc,0.08894214671216048
50,accuracy,0.9554128606312743
50,precision,0.1172069825436409
50,recall,0.25268817204301075
50,f_meas,0.16013628620102213
50,roc_auc,0.8259995272021943
50,pr_auc,0.09076623417225131
51,accuracy,0.9392240209821833
51,precision,0.10163934426229508
51,recall,0.3333333333333333
51,f_meas,0.1557788944723618
51,roc_auc,0.8191526137904636
51,pr_auc,0.09814473043503472
52,accuracy,0.9563172650809442
52,precision,0.104
52,recall,0.20967741935483872
52,f_meas,0.13903743315508021
52,roc_auc,0.8180391156109329
52,pr_auc,0.09664474046053038
53,accuracy,0.9513430406077598
53,precision,0.11403508771929824
53,recall,0.27956989247311825
53,f_meas,0.16199376947040497
53,roc_auc,0.8253951768689114
53,pr_auc,0.08336018356849326
54,accuracy,0.9442886859003347
54,precision,0.10766423357664233
54,recall,0.3172043010752688
54,f_meas,0.16076294277929154
54,roc_auc,0.8269406717883132
54,pr_auc,0.09102370369088293
55,accuracy,0.957221669530614
55,precision,0.12532637075718014
55,recall,0.25806451612903225
55,f_meas,0.1687170474516696
55,roc_auc,0.8240319267104054
55,pr_auc,0.10425076505420929
56,accuracy,0.949353350818486
56,precision,0.1087866108786611
56,recall,0.27956989247311825
56,f_meas,0.1566265060240964
56,roc_auc,0.832981702329271
56,pr_auc,0.0920887908040465
57,accuracy,0.9541466944017365
57,precision,0.1258741258741259
57,recall,0.2903225806451613
57,f_meas,0.175609756097561
57,roc_auc,0.8254409235185257
57,pr_auc,0.08931732673657836
58,accuracy,0.9574929908655151
58,precision,0.12234042553191489
58,recall,0.24731182795698925
58,f_meas,0.16370106761565836
58,roc_auc,0.8198313951590648
58,pr_auc,0.08935397651630637
59,accuracy,0.9565885864158452
59,precision,0.10054347826086957
59,recall,0.1989247311827957
59,f_meas,0.13357400722021662
59,roc_auc,0.8273677229444423
59,pr_auc,0.0880085493858097
