seed,train_prop,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
1,0.8,xgboost,smote_03,0.03,0.03,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.3254951614361943,0.022909809084924293,0.8246445497630331,0.04458109146810146,0.6050377407793556,0.1260914955210918,7595,7421,37,174,3425,4
1,0.8,xgboost,smote_05,0.05,0.34,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.3311024690241476,0.022591362126245847,0.8056872037914692,0.04395036194415718,0.5784118547209403,0.19477125340171667,7525,7355,41,170,3491,5
1,0.8,xgboost,smote_08,0.087,0.4,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.3254951614361943,0.022909809084924293,0.8246445497630331,0.04458109146810146,0.5702145854107439,0.425450327655868,7595,7421,37,174,3425,6
1,0.8,xgboost,smote_15,0.176,0.46,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.3254951614361943,0.022909809084924293,0.8246445497630331,0.04458109146810146,0.5702145854107439,0.425450327655868,7595,7421,37,174,3425,7
1,0.8,xgboost,smote_10,0.111,0.01,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.5702145854107439,0.425450327655868,11057,10846,0,211,0,8
1,0.8,xgboost,smote_20,0.25,0.01,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.5702145854107439,0.425450327655868,11057,10846,0,211,0,9
1,0.8,xgboost,none,NA,0.08,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.9634620602333364,0.13584905660377358,0.17061611374407584,0.15126050420168066,0.7863903350045838,0.08989198576406944,265,229,175,36,10617,1
1,0.8,xgboost,smote_02,0.02,0.06999999999999999,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.9484489463688162,0.047858942065491183,0.09004739336492891,0.0625,0.6434824728447293,0.04882984290927786,397,378,192,19,10468,2
1,0.8,xgboost,smote_05,0.05,0.49,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.865695939224021,0.03773584905660377,0.24644549763033174,0.06544996853366898,0.5709519660424749,0.054605200825042846,1378,1326,159,52,9520,3
1,0.8,xgboost,smote_03,0.03,0.12,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.882517861987881,0.03741496598639456,0.20853080568720378,0.06344628695025235,0.5705967124403432,0.03556188611743818,1176,1132,167,44,9714,4
1,0.8,xgboost,smote_08,0.087,0.01,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.4786072223537976,0.07311498814075834,11057,10846,0,211,0,5
1,0.8,xgboost,smote_10,0.111,0.01,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.44997391311187296,0.07200200896070814,11057,10846,0,211,0,6
1,0.8,xgboost,smote_30,0.3,0.01,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.4394441176907554,0.09312156105190642,11057,10846,0,211,0,7
1,0.8,xgboost,smote_20,0.25,0.01,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.4345142638909402,0.08603325135405951,11057,10846,0,211,0,8
1,0.8,xgboost,smote_15,0.176,0.01,200,4,0.01,1,50,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.40695370691621524,0.20453337800004412,11057,10846,0,211,0,9
2,0.8,xgboost,none,NA,0.08,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.9574025504205481,0.09011627906976744,0.164021164021164,0.11632270168855534,0.7978108636003373,0.06598087448905764,344,313,158,31,10555,1
