seed,train_prop,model,strategy,over_ratio,threshold,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
38,0.05,xgboost,smote_08,0.087,0.15000000000000002,2764,52520,0.017366136034732273,0.01662223914699162,0.9606054836252856,0.05172413793103448,0.07903780068728522,0.06252831898504758,0.6190787709437608,0.0544369403221643,1334,1265,804,69,50382,2
38,0.05,xgboost,smote_10,0.111,0.09999999999999999,2764,52520,0.017366136034732273,0.01662223914699162,0.9765993907083016,0.10964912280701754,0.0572737686139748,0.07524454477050413,0.6063136636579392,0.050034334993213025,456,406,823,50,51241,3
38,0.05,xgboost,smote_15,0.176,0.060000000000000005,2764,52520,0.017366136034732273,0.01662223914699162,0.9615575019040365,0.0416,0.05956471935853379,0.04898728214790391,0.6014828369100301,0.028009045134040077,1250,1198,821,52,50449,4
38,0.05,xgboost,smote_02,0.02,0.09,2764,52520,0.017366136034732273,0.01662223914699162,0.8854150799695354,0.031676679410158386,0.19931271477663232,0.054665409990574926,0.5947219772004557,0.026835872102175355,5493,5319,699,174,46328,5
38,0.05,xgboost,smote_20,0.25,0.48000000000000004,2764,52520,0.017366136034732273,0.01662223914699162,0.8616527037319116,0.03342577725879434,0.2623138602520046,0.0592957017089591,0.5839490482476303,0.04530034902249785,6851,6622,644,229,45025,6
38,0.05,xgboost,smote_30,0.3,0.31,2764,52520,0.017366136034732273,0.01662223914699162,0.9818164508758568,0.12727272727272726,0.016036655211912942,0.028484231943031537,0.5797905647756708,0.035319610690453314,110,96,859,14,51551,7
38,0.05,xgboost,smote_05,0.05,0.11,2764,52520,0.017366136034732273,0.01662223914699162,0.9586252856054837,0.04861111111111111,0.08018327605956473,0.06052745352356247,0.5751638174832584,0.059744453589151335,1440,1370,803,70,50277,8
38,0.05,xgboost,smote_03,0.03,0.09,2764,52520,0.017366136034732273,0.01662223914699162,0.8530654988575781,0.024061196105702364,0.1981672394043528,0.04291206746868411,0.5575284049481112,0.11708534444488311,7190,7017,700,173,44630,9
39,0.05,xgboost,none,NA,0.060000000000000005,2764,52520,0.013748191027496382,0.016812642802741813,0.9730388423457731,0.08553654743390357,0.0622876557191393,0.07208387942332896,0.7558546439842676,0.0684862662451121,643,588,828,55,51049,1
39,0.05,xgboost,smote_10,0.111,0.060000000000000005,2764,52520,0.013748191027496382,0.016812642802741813,0.8373952779893374,0.020778570534484918,0.18799546998867497,0.03742110009017132,0.5543779008226497,0.019104634871846833,7989,7823,717,166,43814,2
39,0.05,xgboost,smote_02,0.02,0.09999999999999999,2764,52520,0.013748191027496382,0.016812642802741813,0.921001523229246,0.027761711972238288,0.1087202718006795,0.044229440221147207,0.5377145352879457,0.04097107516387947,3458,3362,787,96,48275,3
39,0.05,xgboost,smote_08,0.087,0.060000000000000005,2764,52520,0.013748191027496382,0.016812642802741813,0.9713632901751713,0.012558869701726845,0.009060022650056626,0.010526315789473684,0.5175193496740059,0.017359243070279303,637,629,875,8,51008,4
39,0.05,xgboost,smote_30,0.3,0.01,2764,52520,0.013748191027496382,0.016812642802741813,0.016812642802741813,0.016812642802741813,1,0.033069303222665394,0.5088225209911748,0.024094741377595704,52520,51637,0,883,0,5
39,0.05,xgboost,smote_05,0.05,0.14,2764,52520,0.013748191027496382,0.016812642802741813,0.9662985529322163,0.008859357696566999,0.009060022650056626,0.008958566629339306,0.4458038606509844,0.018721976360676188,903,895,875,8,50742,6
39,0.05,xgboost,smote_20,0.25,0.01,2764,52520,0.013748191027496382,0.016812642802741813,0.016812642802741813,0.016812642802741813,1,0.033069303222665394,0.4396834282071568,0.03502887167873754,52520,51637,0,883,0,7
39,0.05,xgboost,smote_03,0.03,0.14,2764,52520,0.013748191027496382,0.016812642802741813,0.6746001523229246,0.01169026815305815,0.21970554926387317,0.022199336308502116,0.4156061903604417,0.06576215569038532,16595,16401,689,194,35236,8
39,0.05,xgboost,smote_15,0.176,0.11,2764,52520,0.013748191027496382,0.016812642802741813,0.056473724295506476,0.016548463356973995,0.9433748584371461,0.03252635689183912,0.39843040551110875,0.025143283776454212,50337,49504,50,833,2133,9
40,0.05,xgboost,none,NA,0.09,2764,52520,0.015557163531114327,0.01671744097486672,0.963994668697639,0.08036454018227009,0.11047835990888383,0.09304556354916067,0.7363672110400153,0.06702780612668653,1207,1110,781,97,50532,1
40,0.05,xgboost,smote_03,0.03,0.19,2764,52520,0.015557163531114327,0.01671744097486672,0.9674600152322924,0.04189636163175303,0.04328018223234624,0.042577030812324924,0.5240491992400105,0.019605401615965645,907,869,840,38,50773,2
40,0.05,xgboost,smote_10,0.111,0.26,2764,52520,0.015557163531114327,0.01671744097486672,0.9431835491241432,0.026528776978417268,0.06719817767653759,0.038039974210186976,0.5120719842821867,0.01740817458826142,2224,2165,819,59,49477,3
40,0.05,xgboost,smote_20,0.25,0.48000000000000004,2764,52520,0.015557163531114327,0.01671744097486672,0.9197067783701447,0.01762496388327073,0.06947608200455581,0.028117077667665365,0.4776650183817643,0.0203725132965763,3461,3400,817,61,48242,4
40,0.05,xgboost,smote_30,0.3,0.35000000000000003,2764,52520,0.015557163531114327,0.01671744097486672,0.9374143183549124,0.021454112038140644,0.06150341685649203,0.03181148748159057,0.46325881292963234,0.017412395845400143,2517,2463,824,54,49179,5
40,0.05,xgboost,smote_02,0.02,0.14,2764,52520,0.015557163531114327,0.01671744097486672,0.9674600152322924,0.04189636163175303,0.04328018223234624,0.042577030812324924,0.46138578997388624,0.0384572006615458,907,869,840,38,50773,6
40,0.05,xgboost,smote_05,0.05,0.2,2764,52520,0.015557163531114327,0.01671744097486672,0.902989337395278,0.01584385763490241,0.0785876993166287,0.026371106439900628,0.46115506405188905,0.018934838929446973,4355,4286,809,69,47356,7
40,0.05,xgboost,smote_08,0.087,0.26,2764,52520,0.015557163531114327,0.01671744097486672,0.8863670982482864,0.015791476407914763,0.09453302961275627,0.02706227583958265,0.45956123236379703,0.016121644669233243,5256,5173,795,83,46469,8
