config_id,model,strategy,over_ratio,scale_pos_weight,colsample_bytree,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,error,rank
80,xgboost,smote_weighted_50,0.5,5,0.6,NA,200,4,0.01,1,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",87
82,xgboost,smote_weighted_50,0.5,59.17278911564626,0.8,NA,100,2,0.01,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",88
83,xgboost,smote_weighted_30,0.3,25,0.8,NA,100,4,0.03,1,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",89
84,xgboost,smote_weighted_30,0.3,25,0.8,NA,200,3,0.03,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",90
85,xgboost,smote_weighted_50,0.5,25,0.8,NA,200,3,0.01,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",91
89,xgboost,smote_weighted_30,0.3,50,0.8,NA,100,4,0.03,1,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",92
90,xgboost,smote_weighted_30,0.3,5,0.8,NA,200,3,0.05,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",93
91,xgboost,smote_weighted_50,0.5,59.17278911564626,0.8,NA,200,2,0.05,0.5,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",94
92,xgboost,smote_weighted_30,0.3,50,0.6,NA,100,3,0.05,0.5,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",95
93,xgboost,smote_weighted_50,0.5,25,0.6,NA,100,4,0.03,0,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",96
96,xgboost,smote_weighted_50,0.5,25,0.8,NA,200,3,0.05,1,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",97
97,xgboost,smote_weighted_50,0.5,25,0.8,NA,200,3,0.05,0,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",98
98,xgboost,smote_weighted_30,0.3,10,0.8,NA,100,3,0.03,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",99
99,xgboost,smote_weighted_50,0.5,1,0.6,NA,200,3,0.05,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",100
100,xgboost,smote_weighted_50,0.5,10,0.8,NA,100,4,0.01,1,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",101
101,xgboost,smote_weighted_30,0.3,1,0.6,NA,200,4,0.01,0,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",102
102,xgboost,smote_weighted_50,0.5,50,0.8,NA,200,4,0.03,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",103
103,xgboost,smote_weighted_30,0.3,1,0.8,NA,200,2,0.05,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",104
