"approach","seed","train_prop","model","strategy","over_ratio","threshold","n_train","n_test","train_yes_rate","test_yes_rate","accuracy","precision","recall","f1","roc_auc","pr_auc","predicted_positive","false_positives","false_negatives","true_positives","true_negatives","rank"
"full",59,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0142536719484842,0.0174613510840991,0.945035332706268,0.0402128917800118,0.0939226519337017,0.0563146997929607,0.594361318969063,0.0258528606379886,1691,1623,656,68,39116,2
"full",59,0.25,"xgboost","smote_30",0.3,0.24,13821,41463,0.0142536719484842,0.0174613510840991,0.942864722764875,0.0546832701678397,0.139502762430939,0.0785686503306107,0.542632834894658,0.0264451386101809,1847,1746,623,101,38993,3
"full",59,0.25,"xgboost","smote_20",0.25,0.37,13821,41463,0.0142536719484842,0.0174613510840991,0.969756168149917,0.093558282208589,0.0842541436464088,0.0886627906976744,0.495577120163542,0.0283292811745364,652,591,663,61,40148,4
"no_tariff",59,0.25,"xgboost","none",NA,0.06,13821,41463,0.0142536719484842,0.0174613510840991,0.95342835781299,0.104262295081967,0.219613259668508,0.141396176078257,0.793211305115885,0.0754687637278416,1525,1366,565,159,39373,1
"no_tariff",59,0.25,"xgboost","smote_20",0.25,0.41,13821,41463,0.0142536719484842,0.0174613510840991,0.963485517208113,0.108134920634921,0.150552486187845,0.125866050808314,0.616762257893159,0.0448736253887887,1008,899,615,109,39840,2
"no_tariff",59,0.25,"xgboost","smote_10",0.111,0.39,13821,41463,0.0142536719484842,0.0174613510840991,0.956780744278031,0.0936073059360731,0.169889502762431,0.120706575073602,0.609767521558543,0.0471824803551135,1314,1191,601,123,39548,3
"no_tariff",59,0.25,"xgboost","smote_30",0.3,0.49,13821,41463,0.0142536719484842,0.0174613510840991,0.884644140559053,0.0392735527809308,0.238950276243094,0.0674595437707155,0.571255888618003,0.026442086838195,4405,4232,551,173,36507,4
"full",60,0.25,"xgboost","none",NA,0.1,13821,41463,0.0173648795311483,0.0164242818898777,0.95931312254299,0.111882716049383,0.212922173274596,0.146686899342438,0.804099945190469,0.0815924624976197,1296,1151,536,145,39631,1
"full",60,0.25,"xgboost","smote_10",0.111,0.49,13821,41463,0.0173648795311483,0.0164242818898777,0.698429925475725,0.0226887363746467,0.412628487518355,0.0430123985917649,0.569563437873278,0.019559813403266,12385,12104,400,281,28678,2
"full",60,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0173648795311483,0.0164242818898777,0.114367026023201,0.0177175891232202,0.972099853157122,0.0348008936785386,0.565199811382048,0.0231415977329809,37364,36702,19,662,4080,3
"full",60,0.25,"xgboost","smote_20",0.25,0.27,13821,41463,0.0173648795311483,0.0164242818898777,0.406555242023008,0.0182045189093399,0.663729809104258,0.035437083496668,0.526084468609319,0.0162057384048132,24829,24377,229,452,16405,4
"no_tariff",60,0.25,"xgboost","none",NA,0.1,13821,41463,0.0173648795311483,0.0164242818898777,0.964016110749343,0.105160662122687,0.158590308370044,0.126463700234192,0.791783283647568,0.0743608772889104,1027,919,573,108,39863,1
"no_tariff",60,0.25,"xgboost","smote_10",0.111,0.49,13821,41463,0.0173648795311483,0.0164242818898777,0.725683139184333,0.0208800071691012,0.342143906020558,0.0393581081081081,0.548330577733936,0.0271820614120185,11159,10926,448,233,29856,2
"no_tariff",60,0.25,"xgboost","smote_30",0.3,0.38,13821,41463,0.0173648795311483,0.0164242818898777,0.929021054916431,0.0303156146179402,0.1071953010279,0.0472644868889608,0.54308516303621,0.0593766040245989,2408,2335,608,73,38447,3
"no_tariff",60,0.25,"xgboost","smote_20",0.25,0.07,13821,41463,0.0173648795311483,0.0164242818898777,0.87321226153438,0.0199328577423416,0.139500734214391,0.0348815861942354,0.50220003267976,0.0308544125897386,4766,4671,586,95,36111,4
"full",61,0.25,"xgboost","none",NA,0.11,13821,41463,0.0168584038781564,0.0165931071075417,0.960446663290162,0.103993344425957,0.181686046511628,0.132275132275132,0.808176446893759,0.0761137578127229,1202,1077,563,125,39698,1
"full",61,0.25,"xgboost","smote_10",0.111,0.47,13821,41463,0.0168584038781564,0.0165931071075417,0.94469768227094,0.0539188438021123,0.140988372093023,0.0780056292722155,0.641303790654899,0.031055372730863,1799,1702,591,97,39073,2
"full",61,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0168584038781564,0.0165931071075417,0.186358922412754,0.0185875772054539,0.927325581395349,0.0364446475494116,0.638512130523434,0.0288875181953613,34324,33686,50,638,7089,3
"full",61,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0168584038781564,0.0165931071075417,0.0360562429153703,0.016494337764648,0.973837209302326,0.0324392369516801,0.553194287995665,0.0208404021265727,40620,39950,18,670,825,4
"no_tariff",61,0.25,"xgboost","none",NA,0.12,13821,41463,0.0168584038781564,0.0165931071075417,0.965921423920122,0.105549510337323,0.140988372093023,0.120721841941506,0.793499992870689,0.0677724689220397,919,822,591,97,39953,1
"no_tariff",61,0.25,"xgboost","smote_20",0.25,0.33,13821,41463,0.0168584038781564,0.0165931071075417,0.963485517208113,0.0451541850220264,0.059593023255814,0.0513784461152882,0.580185593800351,0.0264201868278527,908,867,647,41,39908,2
"no_tariff",61,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.0168584038781564,0.0165931071075417,0.0165931071075417,0.0165931071075417,1,0.0326445398685678,0.554618670953759,0.0215590488098929,41463,40775,0,688,0,3
"no_tariff",61,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0168584038781564,0.0165931071075417,0.170947591828859,0.0172260597896185,0.873546511627907,0.03378587289541,0.487102327007258,0.0167595655991051,34889,34288,87,601,6487,4
"full",62,0.25,"xgboost","none",NA,0.1,13821,41463,0.0167860502134433,0.0166172249957794,0.957914285025203,0.0925925925925926,0.174165457184325,0.120906801007557,0.797691946751975,0.0696389966356537,1296,1176,569,120,39598,1
"full",62,0.25,"xgboost","smote_10",0.111,0.28,13821,41463,0.0167860502134433,0.0166172249957794,0.94638593444758,0.0504103165298945,0.124818577648766,0.0718162839248434,0.626137042138823,0.0295137038553889,1706,1620,603,86,39154,2
"full",62,0.25,"xgboost","smote_30",0.3,0.4,13821,41463,0.0167860502134433,0.0166172249957794,0.947205942647662,0.0753114382785957,0.193033381712627,0.108350305498982,0.570595177082524,0.0302790014969754,1766,1633,556,133,39141,3
"full",62,0.25,"xgboost","smote_20",0.25,0.28,13821,41463,0.0167860502134433,0.0166172249957794,0.920748619250898,0.0350877192982456,0.142235123367199,0.0562894887995405,0.551094521303062,0.0215478603395609,2793,2695,591,98,38079,4
"no_tariff",62,0.25,"xgboost","none",NA,0.11,13821,41463,0.0167860502134433,0.0166172249957794,0.968284976967417,0.0935064935064935,0.104499274310595,0.0986977381768334,0.782821347420875,0.0630328165340136,770,698,617,72,40076,1
"no_tariff",62,0.25,"xgboost","smote_20",0.25,0.37,13821,41463,0.0167860502134433,0.0166172249957794,0.839712514772207,0.0295371979150213,0.271407837445573,0.0532763532763533,0.568287721842151,0.0213047670508732,6331,6144,502,187,34630,2
"no_tariff",62,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0167860502134433,0.0166172249957794,0.0889708897088971,0.0166062723220105,0.924528301886792,0.0326265109608687,0.556240804297511,0.0594970724143083,38359,37722,52,637,3052,3
"no_tariff",62,0.25,"xgboost","smote_30",0.3,0.35,13821,41463,0.0167860502134433,0.0166172249957794,0.881967054964667,0.0229180848649875,0.146589259796807,0.0396389324960754,0.526400293650234,0.0229972783104858,4407,4306,588,101,36468,4
"full",63,0.25,"xgboost","none",NA,0.08,13821,41463,0.0160625135663121,0.0168584038781564,0.958975472107662,0.11402157164869,0.21173104434907,0.14822233350025,0.812358435288002,0.0852068318197848,1298,1150,551,148,39614,1
"full",63,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.0160625135663121,0.0168584038781564,0.535489472541784,0.0223869075189131,0.622317596566524,0.0432190760059613,0.616813041157104,0.0283005891263027,19431,18996,264,435,21768,2
"full",63,0.25,"xgboost","smote_30",0.3,0.16,13821,41463,0.0160625135663121,0.0168584038781564,0.828352989412247,0.0364056631031494,0.360515021459227,0.066133053405065,0.602835660065847,0.0264816854643886,6922,6670,447,252,34094,3
"full",63,0.25,"xgboost","smote_20",0.25,0.14,13821,41463,0.0160625135663121,0.0168584038781564,0.958324289125244,0.0343891402714932,0.0543633762517883,0.0421286031042129,0.552007076147444,0.0196864288396384,1105,1067,661,38,39697,4
"no_tariff",63,0.25,"xgboost","none",NA,0.09,13821,41463,0.0160625135663121,0.0168584038781564,0.966934375226105,0.117312072892938,0.147353361945637,0.130627774254914,0.798347450673537,0.0795932076308964,878,775,596,103,39989,1
"no_tariff",63,0.25,"xgboost","smote_30",0.3,0.33,13821,41463,0.0160625135663121,0.0168584038781564,0.882304705399995,0.0277840524056923,0.175965665236052,0.0479906359734686,0.582072315062703,0.0231203647314763,4427,4304,576,123,36460,2
"no_tariff",63,0.25,"xgboost","smote_20",0.25,0.28,13821,41463,0.0160625135663121,0.0168584038781564,0.890191254853725,0.0309152872444012,0.181688125894134,0.0528396089036821,0.539740175803807,0.0230471901559495,4108,3981,572,127,36783,3
"no_tariff",63,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.0160625135663121,0.0168584038781564,0.0168584038781564,0.0168584038781564,1,0.0331578198377686,0.448374284359015,0.0167447797410034,41463,40764,0,699,0,4
"full",64,0.25,"xgboost","none",NA,0.1,13821,41463,0.0172925258664351,0.0164483997781154,0.961121964160818,0.10989932885906,0.19208211143695,0.139807897545358,0.805122720811637,0.0761252239308899,1192,1061,551,131,39720,1
"full",64,0.25,"xgboost","smote_10",0.111,0.3,13821,41463,0.0172925258664351,0.0164483997781154,0.948363601283072,0.053822629969419,0.129032258064516,0.0759602934829521,0.664638727956877,0.0318233619349989,1635,1547,594,88,39234,2
"full",64,0.25,"xgboost","smote_20",0.25,0.08,13821,41463,0.0172925258664351,0.0164483997781154,0.968960277838072,0.100396301188904,0.111436950146628,0.105628908964559,0.643649927252506,0.0580444228434016,757,681,606,76,40100,3
"full",64,0.25,"xgboost","smote_30",0.3,0.27,13821,41463,0.0172925258664351,0.0164483997781154,0.921906277886308,0.029108327192336,0.1158357771261,0.0465253239104829,0.613699554324972,0.0244421493285281,2714,2635,603,79,38146,4
"no_tariff",64,0.25,"xgboost","none",NA,0.1,13821,41463,0.0172925258664351,0.0164483997781154,0.967971444420327,0.109903381642512,0.133431085043988,0.120529801324503,0.785117915083364,0.0690384153976896,828,737,591,91,40044,1
"no_tariff",64,0.25,"xgboost","smote_20",0.25,0.38,13821,41463,0.0172925258664351,0.0164483997781154,0.926488676651472,0.0364420062695925,0.136363636363636,0.0575139146567718,0.613935220537481,0.0324700734208476,2552,2459,589,93,38322,2
"no_tariff",64,0.25,"xgboost","smote_30",0.3,0.31,13821,41463,0.0172925258664351,0.0164483997781154,0.967633793984999,0.0634920634920635,0.0703812316715543,0.066759388038943,0.609747574502271,0.0338193627980726,756,708,634,48,40073,3
"no_tariff",64,0.25,"xgboost","smote_10",0.111,0.23,13821,41463,0.0172925258664351,0.0164483997781154,0.941634710464752,0.0307775377969762,0.0835777126099707,0.0449881610102605,0.589934264425508,0.0332379193664551,1852,1795,625,57,38986,4
"full",65,0.25,"xgboost","none",NA,0.1,13821,41463,0.0163519282251646,0.0167619323252056,0.962303740684466,0.111111111111111,0.17841726618705,0.136940916620652,0.803220116214721,0.0790524450995477,1116,992,571,124,39776,1
"full",65,0.25,"xgboost","smote_10",0.111,0.15,13821,41463,0.0163519282251646,0.0167619323252056,0.944770035935653,0.0581717451523546,0.151079136690647,0.084,0.640516948685949,0.0303493749153644,1805,1700,590,105,39068,2
"full",65,0.25,"xgboost","smote_20",0.25,0.12,13821,41463,0.0163519282251646,0.0167619323252056,0.870052818175241,0.0398117277897627,0.292086330935252,0.0700724887814981,0.617109412940605,0.0280998065588451,5099,4896,492,203,35872,3
"full",65,0.25,"xgboost","smote_30",0.3,0.14,13821,41463,0.0163519282251646,0.0167619323252056,0.94112823481176,0.0429319371727749,0.117985611510791,0.0629558541266795,0.5673594679986,0.0239694947651625,1910,1828,613,82,38940,4
"no_tariff",65,0.25,"xgboost","none",NA,0.08,13821,41463,0.0163519282251646,0.0167619323252056,0.958444878566433,0.0996884735202492,0.184172661870504,0.129358261748358,0.790510331138543,0.0703381148638706,1284,1156,567,128,39612,1
"no_tariff",65,0.25,"xgboost","smote_20",0.25,0.24,13821,41463,0.0163519282251646,0.0167619323252056,0.75809758097581,0.0250330721481632,0.353956834532374,0.0467591712602167,0.56363592407079,0.0313931515959196,9827,9581,449,246,31187,2
"no_tariff",65,0.25,"xgboost","smote_30",0.3,0.18,13821,41463,0.0163519282251646,0.0167619323252056,0.412753539300099,0.0161989691565082,0.569784172661871,0.031502326876417,0.472085720356211,0.0282328896747737,24446,24050,299,396,16718,3
