config_id,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
13,xgboost,smote_50,0.5,0.01,400,3,0.05,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.6062076472572288,0.03221962205825708,0,0,186,0,10871,15
63,xgboost,smote_75,0.75,0.27,100,3,0.05,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9131771728316903,0.03033980582524272,0.13440860215053763,0.04950495049504951,0.605765017512312,0.06877227644966329,824,799,161,25,10072,16
60,xgboost,smote_75,0.75,0.02,400,4,0.03,1,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8800759699737722,0.03201970443349754,0.20967741935483872,0.05555555555555556,0.6009608774652498,0.03256510500724926,1218,1179,147,39,9692,17
29,xgboost,smote_40,0.4,0.17,200,4,0.03,1,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.9478158632540472,0.04428904428904429,0.10215053763440861,0.061788617886178857,0.6003745785126255,0.05539997494505623,429,410,167,19,10461,18
19,xgboost,smote_75,0.75,0.27,400,3,0.01,1,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.9253866329022339,0.029455081001472753,0.10752688172043011,0.04624277456647399,0.5965133140059921,0.06800418621566719,679,659,166,20,10212,19
17,xgboost,smote_50,0.5,0.5,400,4,0.01,1,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9053088541195623,0.03358613217768147,0.16666666666666666,0.05590622182146077,0.5932010092947301,0.054863285899749877,923,892,155,31,9979,20
48,xgboost,smote_100,1,0.17,200,2,0.03,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.933435832504296,0.04470198675496689,0.14516129032258066,0.06835443037974684,0.5930096152039114,0.035255019856335036,604,577,159,27,10294,21
67,xgboost,smote_30,0.3,0.48000000000000004,100,4,0.03,1,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8622592023152754,0.028228652081863093,0.21505376344086022,0.049906425452276984,0.5899032940555072,0.030585027331202084,1417,1377,146,40,9494,22
59,xgboost,smote_50,0.5,0.39,400,3,0.01,0,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8686804739079316,0.029017857142857144,0.20967741935483872,0.050980392156862744,0.588373377724893,0.046683633016891976,1344,1305,147,39,9566,23
58,xgboost,smote_30,0.3,0.47000000000000003,400,4,0.05,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8819752193180791,0.03258145363408521,0.20967741935483872,0.05639913232104121,0.5875185335750734,0.028669304209099824,1197,1158,147,39,9713,24
51,xgboost,smote_30,0.3,0.01,100,2,0.03,0,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5856399535906421,0.17257058841968528,11057,10871,0,186,0,25
53,xgboost,smote_40,0.4,0.35000000000000003,100,4,0.05,1,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9222212173283892,0.034530386740331494,0.13440860215053763,0.054945054945054944,0.5837549443473461,0.023831184603905566,724,699,161,25,10172,26
23,xgboost,smote_40,0.4,0.47000000000000003,100,3,0.03,1,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9131771728316903,0.03033980582524272,0.13440860215053763,0.04950495049504951,0.5806780494222076,0.08960268573722187,824,799,161,25,10072,27
64,xgboost,smote_50,0.5,0.47000000000000003,400,4,0.01,0,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.9039522474450574,0.031049250535331904,0.15591397849462366,0.05178571428571429,0.5800467456575302,0.053787720014277514,934,905,157,29,9966,28
62,xgboost,smote_75,0.75,0.01,400,2,0.05,0.5,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.7409785656145428,0.024164889836531627,0.3655913978494624,0.04533333333333333,0.5791370055281735,0.020613699773673683,2814,2746,118,68,8125,29
72,xgboost,smote_75,0.75,0.5,200,4,0.01,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.17201772632721354,0.01795119853810599,0.8978494623655914,0.03519865106965961,0.5790064421173825,0.048288638722110595,9303,9136,19,167,1735,30
18,xgboost,smote_75,0.75,0.48000000000000004,100,3,0.03,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5787393805953099,0.0691747033416596,1707,1660,139,47,9211,31
66,xgboost,smote_40,0.4,0.09,200,4,0.05,0,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8808899339784751,0.03225806451612903,0.20967741935483872,0.05591397849462365,0.5786276104027387,0.02509725602655641,1209,1170,147,39,9701,32
65,xgboost,smote_40,0.4,0.45,200,3,0.01,1,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.578189678962377,0.1465950393024956,1707,1660,139,47,9211,33
16,xgboost,smote_40,0.4,0.34,100,4,0.05,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8887582526906033,0.02802893309222423,0.16666666666666666,0.047987616099071206,0.5750922598647086,0.05082517638040107,1106,1075,155,31,9796,34
37,xgboost,smote_50,0.5,0.01,400,3,0.03,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.574621193013275,0.024752568626479746,0,0,186,0,10871,35
38,xgboost,smote_40,0.4,0.05,400,2,0.03,1,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.7774260649362394,0.026239067055393587,0.3387096774193548,0.04870506378044066,0.5735039856459377,0.027237730415876335,2401,2338,123,63,8533,36
31,xgboost,smote_40,0.4,0.4,200,4,0.01,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5677668612259311,0.14616706278971575,1707,1660,139,47,9211,37
15,xgboost,smote_100,1,0.04,400,2,0.03,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.5811702993578728,0.020082055711509395,0.5,0.03861324475814823,0.5664439175749231,0.019868814638874955,4631,4538,93,93,6333,38
