.threshold,specificity,sensitivity
0.01918107271194458,0.0823291325545028,0.9946236559139785
0.01922786235809326,0.08242112041210559,0.9946236559139785
0.01926875114440918,0.08251310826970837,0.9946236559139785
0.01930224895477295,0.08260509612731115,0.9946236559139785
0.019366681575775146,0.08315702327292795,0.9946236559139785
0.019367635250091553,0.08334099898813352,0.9946236559139785
0.019382059574127197,0.08343298684573641,0.9946236559139785
0.019388556480407715,0.0835249747033392,0.9946236559139785
0.019406378269195557,0.08361696256094198,0.9946236559139785
0.01941072940826416,0.08380093827614754,0.9946236559139785
0.0194510817527771,0.08389292613375032,0.9946236559139785
0.019505023956298828,0.0839849139913531,0.9946236559139785
0.019539177417755127,0.08407690184895589,0.9946236559139785
0.019547104835510254,0.08426087756416156,0.9946236559139785
0.019570112228393555,0.08435286542176434,0.9946236559139785
0.019604384899139404,0.08462882899457269,0.9946236559139785
0.019627511501312256,0.08472081685217547,0.9946236559139785
0.019668638706207275,0.08481280470977826,0.9946236559139785
0.019668996334075928,0.0851807561401895,0.9946236559139785
0.01970463991165161,0.08536473185539506,0.9946236559139785
0.019726037979125977,0.08545671971299784,0.9946236559139785
0.01985478401184082,0.08564069542820352,0.9946236559139785
0.01988917589187622,0.0857326832858063,0.9946236559139785
0.01991206407546997,0.08600864685861465,0.9946236559139785
0.019932866096496582,0.08610063471621743,0.9946236559139785
0.01994079351425171,0.08656057400423145,0.9946236559139785
0.019942402839660645,0.08665256186183423,0.9946236559139785
0.019975483417510986,0.08674454971943701,0.9946236559139785
0.019998371601104736,0.0868365375770398,0.9946236559139785
0.019999980926513672,0.08711250114984825,0.9946236559139785
0.02000892162322998,0.08720448900745104,0.9946236559139785
0.020029783248901367,0.08729647686505382,0.9946236559139785
0.020059168338775635,0.0873884647226566,0.9946236559139785
0.020061135292053223,0.08748045258025938,0.9946236559139785
0.020179808139801025,0.08757244043786216,0.9946236559139785
0.020246565341949463,0.08766442829546495,0.9946236559139785
0.020280182361602783,0.08830834329868453,0.9946236559139785
0.02028977870941162,0.08840033115628732,0.9946236559139785
0.020304441452026367,0.08849231901389021,0.9946236559139785
0.020317256450653076,0.08858430687149299,0.9946236559139785
0.020340144634246826,0.08867629472909577,0.9946236559139785
0.020343661308288574,0.08886027044430134,0.9946236559139785
0.020346999168395996,0.0890442461595069,0.9946236559139785
0.020352959632873535,0.08922822187471258,0.9946236559139785
0.020403265953063965,0.08941219758991814,0.9946236559139785
0.020408213138580322,0.08950418544752092,0.9946236559139785
0.020429134368896484,0.0895961733051237,0.9946236559139785
0.020445048809051514,0.08987213687793216,0.9946236559139785
0.02046334743499756,0.09005611259313773,0.9946236559139785
0.02051997184753418,0.09070002759635731,0.9946236559139785
0.02055126428604126,0.0907920154539601,0.9946236559139785
0.020562350749969482,0.09088400331156288,0.9946236559139785
0.020683109760284424,0.091251954741974,0.9946236559139785
0.02075570821762085,0.09143593045717968,0.9946236559139785
0.020797908306121826,0.09152791831478246,0.9946236559139785
0.020800769329071045,0.09336767546683833,0.9946236559139785
0.020811855792999268,0.09345966332444122,0.9946236559139785
0.020825684070587158,0.09382761475485235,0.9946236559139785
0.0209425687789917,0.09391960261245513,0.9946236559139785
0.020953893661499023,0.0946555054732775,0.9946236559139785
0.020968317985534668,0.09474749333088028,0.9946236559139785
0.02098327875137329,0.09483948118848307,0.9946236559139785
0.021052062511444092,0.09493146904608596,0.9946236559139785
0.021139085292816162,0.09502345690368874,0.9946236559139785
0.02115577459335327,0.09511544476129152,0.9946236559139785
0.021157801151275635,0.0952074326188943,0.9946236559139785
0.021185338497161865,0.09612731119492224,0.9946236559139785
0.021194934844970703,0.09723116548615585,0.9946236559139785
0.021213233470916748,0.11102934412657528,0.989247311827957
0.021215975284576416,0.11139729555698652,0.989247311827957
0.02121734619140625,0.1114892834145893,0.989247311827957
0.02126777172088623,0.11158127127219208,0.989247311827957
0.021312236785888672,0.11194922270260321,0.989247311827957
0.021313130855560303,0.1120412105602061,0.989247311827957
0.021324098110198975,0.11222518627541167,0.989247311827957
0.021332085132598877,0.11231717413301445,0.989247311827957
0.02136439085006714,0.11250114984822002,0.989247311827957
0.02136772871017456,0.1125931377058228,0.989247311827957
0.021373271942138672,0.11286910127863126,0.989247311827957
0.021403908729553223,0.11296108913623404,0.989247311827957
0.021405518054962158,0.11305307699383682,0.989247311827957
0.02144843339920044,0.1131450648514396,0.989247311827957
0.02147430181503296,0.11323705270904239,0.989247311827957
0.021497488021850586,0.11332904056664517,0.989247311827957
0.02149873971939087,0.11360500413945362,0.989247311827957
0.02150171995162964,0.11378897985465919,0.989247311827957
0.021527767181396484,0.11388096771226197,0.989247311827957
0.021568238735198975,0.11397295556986475,0.989247311827957
0.02156895399093628,0.11461687057308434,0.989247311827957
0.02159440517425537,0.11470885843068712,0.989247311827957
0.021617889404296875,0.11562873700671517,0.989247311827957
0.021660923957824707,0.1176524698739766,0.989247311827957
0.0217096209526062,0.11774445773157938,0.989247311827957
0.02171272039413452,0.11783644558918227,0.989247311827957
0.021753132343292236,0.11792843344678505,0.989247311827957
0.021768152713775635,0.11802042130438783,0.989247311827957
0.02184540033340454,0.11848036059240186,0.989247311827957
0.02186065912246704,0.11857234845000464,0.989247311827957
0.021875977516174316,0.11866433630760742,0.989247311827957
0.021883487701416016,0.1187563241652102,0.989247311827957
0.021904826164245605,0.11884831202281299,0.989247311827957
0.021933674812316895,0.11894029988041577,0.989247311827957
0.022030234336853027,0.11912427559562133,0.989247311827957
0.022057056427001953,0.12961089136234016,0.9838709677419355
0.022077322006225586,0.12970287921994295,0.9838709677419355
0.022084951400756836,0.12979486707754573,0.9838709677419355
0.022103071212768555,0.1298868549351485,0.9838709677419355
0.022114276885986328,0.1299788427927514,0.9838709677419355
0.02212655544281006,0.13016281850795697,0.9838709677419355
0.022146761417388916,0.13071474565357377,0.9838709677419355
0.022287070751190186,0.13145064851439614,0.9838709677419355
0.022333741188049316,0.13154263637199892,0.9838709677419355
0.02240544557571411,0.1316346242296017,0.9838709677419355
0.022415220737457275,0.1317266120872045,0.9838709677419355
0.02244436740875244,0.13181859994480727,0.9838709677419355
0.022453248500823975,0.13191058780241005,0.9838709677419355
0.022494494915008545,0.13209456351761573,0.9838709677419355
0.02251410484313965,0.13255450280562964,0.9838709677419355
0.022555649280548096,0.13264649066323242,0.9838709677419355
0.022555768489837646,0.1327384785208352,0.9838709677419355
0.022557377815246582,0.13301444209364366,0.9838709677419355
0.022622525691986084,0.13319841780884922,0.9838709677419355
0.02267080545425415,0.1333823935240548,0.9838709677419355
0.022679448127746582,0.13356636923926046,0.9838709677419355
0.022688686847686768,0.13365835709686325,0.9838709677419355
0.0227012038230896,0.13375034495446603,0.9838709677419355
0.0227014422416687,0.1338423328120688,0.9838709677419355
0.02270960807800293,0.1339343206696716,0.9838709677419355
